artist,track,msPlayed,track_id,flag
Pink Floyd,Cirrus Minor - 2011 Remaster,40618,x,0
Pink Floyd,Cymbaline - 2011 Remaster,290346,x,0
Pink Floyd,Echoes - 2011 Remastered Version,1413306,x,0
Pink Floyd,Eclipse - 2011 Remastered Version,114093,x,0
Pink Floyd,Fat Old Sun - 2011 Remaster,323946,x,0
Pink Floyd,Fearless - 2011 Remastered Version,367880,x,0
Pink Floyd,Free Four - 2011 Remastered Version,256746,x,0
Pink Floyd,Have A Cigar - 2011 Remaster,307440,x,0
Pink Floyd,Ibiza Bar - 2011 Remaster,199200,x,0
Pink Floyd,Learning To Fly - 2011 Remastered Version,292080,x,0
Pink Floyd,Let There Be More Light - 2011 Remaster,337213,x,0
Pink Floyd,Marooned - 2011 Remaster,3037,x,0
Pink Floyd,Money - 2011 Remastered Version,380080,x,0
Pink Floyd,Not Now John - 2011 Remastered Version,34665,x,0
Pink Floyd,On The Turning Away - 2011 Remastered Version,31093,x,0
Pink Floyd,One Of These Days - 2011 Remastered Version,355400,x,0
Pink Floyd,Party Sequence - 2011 Remaster,68786,x,0
Pink Floyd,Pigs On The Wing 1 - 2011 Remaster,84506,x,0
Pink Floyd,Pow R. Toc. H - 2011 Remaster,266280,x,0
Pink Floyd,San Tropez - 2011 Remastered Version,222853,x,0
Pink Floyd,See Emily Play - 1996 Remastered Version,173733,x,0
Pink Floyd,Set The Controls For The Heart Of The Sun - 2011 Remaster,328293,x,0
Pink Floyd,Sheep - 2011 Remaster,18941,x,0
Pink Floyd,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",810293,x,0
Pink Floyd,Stay - 2011 Remastered Version,247573,x,0
Pink Floyd,Summer '68 - 2011 Remaster,328386,x,0
Pink Floyd,The Gold It's In The ... - 2011 Remastered Version,187813,x,0
Pink Floyd,The Nile Song - 2011 Remaster,206800,x,0
Pink Floyd,Time - 2011 Remastered Version,4963,x,0
Pink Floyd,Two Suns In The Sunset - 2011 Remastered Version,1491,x,0
Pink Floyd,Up The Khyber - 2011 Remaster,132800,x,0
Pink Floyd,What Do You Want From Me - 2011 Remaster,261480,x,0
Pink Floyd,Wots ... Uh The Deal - 2011 Remastered Version,309200,x,0
Pink Floyd,Young Lust - 2011 Remastered Version,209786,x,0
Premiata Forneria Marconi,Rain Birth - Live 2001,17253,x,0
Rachid Taha,Joséphine,314066,x,0
Rachid Taha,Kifache Rah,38947,x,0
Salif Keita,Moussolou,299546,x,0
Sam Cooke,Summertime (Part 1) - Mono,143506,x,0
Steamhammer,Water (Part One) - Digitally Remastered Version,51680,x,0
T. Rex,20th Century Boy - Remaster,218665,x,0
T. Rex,Afghan Woman - Mono Version,28677,x,0
T. Rex,Child Star - Stereo Version,171480,x,0
T. Rex,Child Star - Take 2,50392,x,0
T. Rex,Children of the Revolution - Remaster,147853,x,0
