artist,track,msPlayed
Anouar Brahem,The Astounding Eyes Of Rita,521880
Anouar Brahem,The Lover Of Beirut,464453
Anthony Phillips,Chinese Mushroom Cloud,46053
Anthony Phillips,Collections,988
Anthony Phillips,Scottish Suite: I. Salmon Leap,166893
Anthony Phillips,Which Way the Wind Blows,1519
Antonín Dvořák,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",5082
Antônio Carlos Jobim,Jobim: Road to the Sun,6558
Apache 207,Breaking your heart,22228
Aphex Twin,Alberto Balsalm,279521
Aphex Twin,Avril 14th,125520
Aphex Twin,Fingerbib,1866
Aphex Twin,Icct Hedral - Phillip Glass Orchestration,485733
Aphex Twin,Jynweythek,143880
Aphex Twin,Tha,55542
Aphrodite's Child,Aegian Sea,322666
Aphrodite's Child,Altamont,270689
Aphrodite's Child,Break,45010
Aphrodite's Child,The Battle Of The Locusts,56000
Aphrodite's Child,The Four Horsemen,353426
Aphrodite's Child,The Grass Is No Green,3176
April Wine,You Could Have Been a Lady,204080
Aram Khachaturian,Gayane Suite No. 3: IV. Gayane's Adagio,296373
Arc De Soleil,Trying to Escape,175115
Area,Gioia e rivoluzione,276413
Arlo Guthrie,Alice's Restaurant Massacree,1116833
Arlo Guthrie,Anytime,110493
Arlo Guthrie,Coming into Los Angeles (Taking Woodstock - Original Motion Picture Soundtrack) - Live,117510
Arlo Guthrie,Coming into Los Angeles - Remastered,186506
Arlo Guthrie,Connection,161640
Arlo Guthrie,Darkest Hour - Live,237240
Arlo Guthrie,Highway in the Wind,161610
Arlo Guthrie,Last Train,186493
Arlo Guthrie,Lightning Bar Blues,172666
Arlo Guthrie,My Front Pages - Remastered,227000
Arlo Guthrie,Oklahoma Hills - Remastered,51561
Arlo Guthrie,Ring A-Around-A-Rosy Rag,135000
Arlo Guthrie,St. James Infirmary - Live,239626
Arlo Guthrie,The City of New Orleans,274506
Arlo Guthrie,The Motorcycle Song,170527
Arlo Guthrie,Walking Song,62741
Arlo Guthrie,Wheel of Fortune - Remastered,14474
Arlo Guthrie,Wouldn't You Believe It - Remastered,202200
Arnold Schoenberg,"Schoenberg: Verklärte Nacht, Op. 4: I. Grave",74880
Art Blakey,Sweet 'n' Sour,54350
Art Ensemble Of Chicago,Nice Guys,81855
