track_id,artist,track,album_id,imgUrl
4QmaPQhJOBJ486u2JpZpY0,Napoli Centrale,'A gente 'e bucciano - A,0Y8S719ucex5x5JHj7ivQW,https://i.scdn.co/image/ab67616d00004851ed434627bbf6e0d27fdd97a6
3rQAnI7nIAXNFcK4jYIAc7,13th Floor Elevators,Reverberation (Doubt) [2008 Remastered Original Mono LP Version],2afQ7u8n1CzNBAHjl6OQCG,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce
75M1vS0AvZtLXbKLBllbvn,13th Floor Elevators,Slip Inside This House - Mono LP Version,5RQNjPQbqY82MBTwaQp3ik,https://i.scdn.co/image/ab67616d000048510b86645a93fbe6593c4138dc
4GVRHAwABAV0v63YX9Go0p,13th Floor Elevators,Slip Inside This House - Stereo LP Version,5RQNjPQbqY82MBTwaQp3ik,https://i.scdn.co/image/ab67616d000048510b86645a93fbe6593c4138dc
2WazJsXu1aDQKR88CMt41T,13th Floor Elevators,Through the Rhythm (2008 Remastered Original Mono LP Version),2afQ7u8n1CzNBAHjl6OQCG,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce
34miSNKQ0xN7EG8zzzaFzI,13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),2afQ7u8n1CzNBAHjl6OQCG,https://i.scdn.co/image/ab67616d00004851e10e8e43d73c0ca58aea14ce
2AcKnehihCFvnzXtr89qxZ,35007,0618,2MtlzWmDz3ArhZIkV97MFa,https://i.scdn.co/image/ab67616d00004851524877800d481cc2648ff1b9
58xdZzSTNgap8a7CEckA9b,35007,2225,2MtlzWmDz3ArhZIkV97MFa,https://i.scdn.co/image/ab67616d00004851524877800d481cc2648ff1b9
534muzSD9kzdBx88meLIIn,35007,Herd,7kO5LnQ7ORPzvmRC1y3cbm,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf
2JITkpLYlbmPy8mxmtQ1IV,35007,Soulmachine,7kO5LnQ7ORPzvmRC1y3cbm,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf
24ENYWfpbnIOGKDW11pXCJ,35007,The Elephant Song,341icYyO50W0ImXNyo3fdw,https://i.scdn.co/image/ab67616d0000485134b6aec2726eb1b5fd61c612
5HOyIyLZYjVIM34gH5hNVO,35007,Vein,7kO5LnQ7ORPzvmRC1y3cbm,https://i.scdn.co/image/ab67616d0000485103fda5292eb982ee298c6bdf
7vjaYUpr3xCbOMrJHTX6MF,35007,Water,341icYyO50W0ImXNyo3fdw,https://i.scdn.co/image/ab67616d0000485134b6aec2726eb1b5fd61c612
0th5Fm05MRhxcxInc9vbPP,Ablaye Cissoko,Bamaya,7wcjLxePOKYRJFIP60kOKS,https://i.scdn.co/image/ab67616d000048516c1eb09a17fff42fcdaaad94
7CchkPNN0Hgl7q9GXPdser,Adrian Belew,Big Electric Cat,0vIlF46tNeiP8IxF4mHCOe,https://i.scdn.co/image/ab67616d00004851dff4e7cec4539cafc71f46f7
6Qs5u9Tqh1rm1ljdr1ckhw,Aerosmith,Mama Kin,1RDVdxPUaqC4o7Rkm8LoOE,https://i.scdn.co/image/ab67616d00004851bbf0146981704a073405b6c2
73TxYZd0lBCVRrHawrAglA,Aerosmith,Sweet Emotion,6As5aOEQjfxLIChIB3fQRD,https://i.scdn.co/image/ab67616d000048518cffbbb7fe8645a486a85ea9
6zb4VGZE20uKHc0mydFgR5,Aerosmith,Train Kept a Rollin',27UoulMZlqnShaLaLBcYp1,https://i.scdn.co/image/ab67616d00004851263ba11563649efef10f7642
